A3DF GED 
A3DG ged 
A4PB CEA 
A4PC cea 
A4PD DEA 
A4PE dea 
A7KH GEB 
A7KI geb 
A7KF GEC 
A7KG gec 
A8PB CEB 
A8PC ceb 
A8PD DEB 
A8PE deb 
ACKH GAB 
ACKI gab 
ACKF GAC 
ACKG gac 
ADPB CAA 
ADPC caa 
ADPD DAA 
ADPE daa 
AGDF GAD 
AGDG gad 
AHPB CAB 
AHPC cab 
AHPD DAB 
AHPE dab 
AJPB kaa 
AJPC KAA 
AJPD kae 
AJPE KAE 
AKDF GAE 
AKDG gae 
ANPB kab 
ANPC KAB 
ANPD kaf 
ANPE KAF 
AOLG maa 
AOLF MAA 
AOLH naa 
AOLI NAA 
ARPB keb 
ARPC KEB 
ARPD kef 
ARPE KEF 
ASLG mae 
ASLF MAE 
ASLH nae 
ASLI NAE 
AVPB kea 
AVPC KEA 
AVPD kee 
AVPE KEE 
AWDF GEE 
AWDG gee 
B1ME BEA 
B1MD bea 
B3PB AMA 
B3PC ama 
B3PD AMB 
B3PE amb 
B4OM ema 
B4ON EMA 
B4OI ena 
B4OH ENA 
B4OF eoa 
B4OE EOA 
B5ME BEB 
B5MD beb 
B7PB AOA 
B7PC aoa 
B7PD AOB 
B7PE aob 
BAME BAA 
BAMD baa 
BCPB AAA 
BCPC aaa 
BCPD AAB 
BCPE aab 
BDCF JAA 
BDCG jaa 
BEME BAB 
BEMD bab 
BGPB ACA 
BGPC aca 
BGPD ACB 
BGPE acb 
BHLG EAA 
BHLF eaa 
BHLH EBA 
BHLI eba 
BHLN ECA 
BHLM eca 
BHLA EDA 
BHLB eda 
BIPB RAA 
BIPC raa 
BIPD RAB 
BIPE rab 
BKPB AEA 
BKPC aea 
BKPD AEB 
BKPE aeb 
BLJG QJA 
BLJF qja 
BLJH QJB 
BLJI qjb 
BLJN qjc 
BLJM QJC 
BLJA qjd 
BLJB QJD 
BMJG REA 
BMJF rea 
BMJH REB 
BMJI reb 
BMJN RIA 
BMJM ria 
BMJA RIB 
BMJB rib 
BNLG TAD 
BNLF tad 
BNLH TAL 
BNLI tal 
BNLN TKD 
BNLM tkd 
BNLA TKL 
BNLB tkl 
BOPB AGA 
BOPC aga 
BOPD AGB 
BOPE agb 
BPLG EEA 
BPLF eea 
BPLH EFA 
BPLI efa 
BPLN EGA 
BPLM ega 
BPLA EHA 
BPLB eha 
BQJG RFA 
BQJF rfa 
BQJH RFB 
BQJI rfb 
BQJN RJA 
BQJM rja 
BQJA RJB 
BQJB rjb 
BRLG TAH 
BRLF tah 
BRLH TAP 
BRLI tap 
BRLN TKH 
BRLM tkh 
BRLA TKP 
BRLB tkp 
BSPB AIA 
BSPC aia 
BSPD AIB 
BSPE aib 
BTOM eia 
BTON EIA 
BTOI eja 
BTOH EJA 
BTOF eka 
BTOE EKA 
BUPB RBA 
BUPC rba 
BUPD RBB 
BUPE rbb 
BWPB AKA 
BWPC aka 
BWPD AKB 
BWPE akb 
BXOM ela 
BXON ELA 
BXOI epa 
BXOH EPA 
C1BI JDA 
C1BH jda 
C1BF JHA 
C1BG jha 
C2PB ANA 
C2PC ana 
C2PD ANB 
C2PE anb 
C3XE RDA 
C3XD rda 
C3XF RHA 
C3XG rha 
C4PB CIA 
C4PC cia 
C5BI JDB 
C5BH jdb 
C5BF JHB 
C5BG jhb 
C6PB APA 
C6PC apa 
C6PD APB 
C6PE apb 
C7XE RDB 
C7XD rdb 
C7XF RHB 
C7XG rhb 
CABI JEA 
CABH jea 
CBPB ABA 
CBPC aba 
CBPD ABB 
CBPE abb 
CCXE RCA 
CCXD rca 
CCXF RGA 
CCXG rga 
CDME laa 
CDMD LAA 
CDMF oja 
CDMG OJA 
CEBI JAB 
CEBH jab 
CEBF JEB 
CEBG jeb 
CFPB ADA 
CFPC ada 
CFPD ADB 
CFPE adb 
CGXE RCB 
CGXD rcb 
CGXF RGB 
CGXG rgb 
CHME lab 
CHMD LAB 
CHMF ojb 
CHMG OJB 
CIBI JBA 
CIBH jba 
CIBF JFA 
CIBG jfa 
CJPB AFA 
CJPC afa 
CJPD AFB 
CJPE afb 
CKME OGA 
CKMD oga 
CKMF OIA 
CKMG oia 
CKMI SAA 
CKMH saa 
CLME OAA 
CLMD oaa 
CLMF OCA 
CLMG oca 
CLMI OEA 
CLMH oea 
