A1RB RKA 
A1RA RKI 
A1RN RLA 
A1RM RLI 
A2LG VCC 
A2LF vcc 
A3XE PDA 
A3XD pda 
A4JG FCA 
A4JF fca 
A4JH FCI 
A4JI fci 
A5RB ROA 
A5RA ROI 
A5RN RPA 
A5RM RPI 
A6LG VDC 
A6LF vdc 
A7XE PDI 
A7XD pdi 
A8JG FDA 
A8JF fda 
A8JH FDI 
A8JI fdi 
AARB RAA 
AARA RAI 
AARN RBA 
AARM RBI 
ABLG vaa 
ABLF VAA 
ACXE PAA 
ACXD paa 
ADME XAA 
ADMD xaa 
AERB REA 
AERA REI 
AERN RFA 
AERM RFI 
AFLG vba 
AFLF VBA 
AGXE PAI 
AGXD pai 
AHJG FAA 
AHJF faa 
AHJH FAI 
AHJI fai 
AHJN FBA 
AHJM fba 
AHJA FBI 
AHJB fbi 
AIRB RIA 
AIRA RII 
AIRN RJA 
AIRM RJI 
AJLG vca 
AJLF VCA 
AKXE PBA 
AKXD pba 
ALPB baa 
ALPC BAA 
ALPD bai 
ALPE BAI 
AMRB RMA 
AMRA RMI 
AMRN RNA 
AMRM RNI 
ANLG vda 
ANLF VDA 
AOXE PBI 
AOXD pbi 
APPB bba 
APPC BBA 
APPD bbi 
APPE BBI 
AQRB RCA 
AQRA RCI 
AQRN RDA 
AQRM RDI 
ARLG VAC 
ARLF vac 
ASXE PCA 
ASXD pca 
ATPB bca 
ATPC BCA 
ATPD bci 
ATPE BCI 
AURB RGA 
AURA RGI 
AURN RHA 
AURM RHI 
AVLG VBC 
AVLF vbc 
AWXE PCI 
AWXD pci 
AXPB bda 
AXPC BDA 
AXPD bdi 
AXPE BDI 
B1ME QPA 
B1MD qpa 
B1MF QPE 
B1MG qpe 
B3PB WDA 
B3PC wda 
B3PD WDI 
B3PE wdi 
B7LG QRE 
B7LF qre 
B7LH QRF 
B7LI qrf 
B7LN QRH 
B7LM qrh 
B7LA QRI 
B7LB qri 
B8LG QRJ 
B8LF qrj 
B8LH QRK 
B8LI qrk 
B8LN QRL 
B8LM qrl 
B8LA QRM 
B8LB qrm 
BAHG JHA 
BAHF jha 
BDME LBA 
BDMD lba 
BDMF LBI 
BDMG lbi 
BGPB WAA 
BGPC waa 
BGPD WAI 
BGPE wai 
BIJG taa 
BIJF TAA 
BIJH tac 
BIJI TAC 
BIJN tad 
BIJM TAD 
BIJA tab 
BIJB TAB 
BKPB WBA 
BKPC wba 
BKPD WBI 
BKPE wbi 
BLQF JQA 
BLQG jqa 
BLQE jqb 
BLQD JQB 
BMLG haa 
BMLF HAA 
BMLH hba 
BMLI HBA 
BMLN hca 
BMLM HCA 
BMLA hda 
BMLB HDA 
BNLG qaq 
BNLF QAQ 
BNLH QQE 
BNLI qqe 
BNLN QTD 
BNLM qtd 
BOPB QAJ 
BOPC qaj 
BOPD QRG 
BOPE qrg 
BPPB GAA 
BPPC gaa 
BPPD GAI 
BPPE gai 
BQLG hai 
BQLF HAI 
BQLH hbi 
BQLI HBI 
BQLN hci 
BQLM HCI 
BQLA hdi 
BQLB HDI 
BRME QDD 
BRMD qdd 
BSJG TFA 
BSJF tfa 
BSJH TFB 
BSJI tfb 
BSJN TFC 
BSJM tfc 
BSJA TFD 
BSJB tfd 
BTPB GBA 
BTPC gba 
BTPD GBI 
BTPE gbi 
BUJG taf 
BUJF TAF 
BUJH tag 
BUJI TAG 
BUJN tah 
BUJM TAH 
BUJA tae 
BUJB TAE 
BWPB WCA 
BWPC wca 
BWPD WCI 
BWPE wci 
BXPB KAA 
BXPC kaa 
BXPD KAI 
BXPE kai 
C1ME QAP 
C1MD qap 
C2PB GDA 
C2PC gda 
C2PD GDI 
C2PE gdi 
C3PB EBA 
C3PC eba 
C3PD EBI 
C3PE ebi 
C4PB OKS 
C4PC oks 
C4PD QAC 
C4PE qac 
C5LG QRN 
C5LF qrn 
C5LH QRO 
C5LI qro 
C5LN QRP 
C5LM qrp 
C5LA QSA 
C5LB qsa 
C6PB LAA 
C6PC laa 
