*
* Connector Definitions
* Module: GA
* Description: Scalar Integer Addition, Scalar Population Count, and Scalar Leading Zero Count
* Revision:
* Date:
* 
ZAA ZAB - ICB .
ZAC ZAD - ICC .
ZAE ZAF - ICD .
ZAG ZAH - OCC .
ZAI ZAJ - OCD .
ZAK ZAL - OAA .
ZAM ZAN - OAB .
ZAO ZAP - OAC .
ZAQ ZAR - IAB .
ZAS ZAT - IAC .
ZAU ZAV - IAD .
ZAW ZAX - OAD .
ZBA ZBB - OCA .
ZBC ZBD - OCB .
ZBE ZBF - *** .
ZBG ZBH - *** .
ZBI ZBJ - *** .
ZBK ZBL - *** .
ZBM ZBN - *** .
ZBO ZBP - *** .
ZBQ ZBR - *** .
ZBS ZBT - *** .
ZBU ZBV - *** .
ZBW ZBX - *** .
ZCA ZCB - *** .
ZCC ZCD - *** .
ZCE ZCF - *** .
ZCG ZCH - *** .
ZCI ZCJ - *** .
ZCK ZCL - *** .
ZCM ZCN - *** .
ZCO ZCP - *** .
ZCQ ZCR - *** .
ZCS ZCT - *** .
ZCU ZCV - *** .
ZCW ZCX - *** .
 
ZDA ZDB - ICF .
ZDC ZDD - ICG .
ZDE ZDF - ICH .
ZDG ZDH - OCG .
ZDI ZDJ - OCH .
ZDK ZDL - OAE .
ZDM ZDN - IAA .
ZDO ZDP - IAE .
ZDQ ZDR - IAI .
ZDS ZDT - OAF .
ZDU ZDV - OAG .
ZDW ZDX - IAF .
ZEA ZEB - IAG .
ZEC ZED - IAH .
ZEE ZEF - OAH .
ZEG ZEH - ICA .
ZEI ZEJ - ICE .
ZEK ZEL - ICI .
ZEM ZEN - OCE .
ZEO ZEP - OCF .
ZEQ ZER - *** .
ZES ZET - *** .
ZEU ZEV - *** .
ZEW ZEX - *** .
ZFA ZFB - *** .
ZFC ZFD - *** .
ZFE ZFF - *** .
ZFG ZFH - *** .
ZFI ZFJ - *** .
ZFK ZFL - *** .
ZFM ZFN - *** .
ZFO ZFP - *** .
ZFQ ZFR - *** .
ZFS ZFT - *** .
ZFU ZFV - *** .
ZFW ZFX - *** .
 
ZGA ZGB - ICJ .
ZGC ZGD - ICK .
ZGE ZGF - ICL .
ZGG ZGH - OCK .
ZGI ZGJ - OCL .
ZGK ZGL - OAI .
ZGM ZGN - OAJ .
ZGO ZGP - IAJ .
ZGQ ZGR - IAK .
ZGS ZGT - IAL .
ZGU ZGV - OAK .
ZGW ZGX - OAL .
ZHA ZHB - OCI .
ZHC ZHD - OCJ .
ZHE ZHF - *** .
ZHG ZHH - *** .
ZHI ZHJ - *** .
ZHK ZHL - *** .
ZHM ZHN - *** .
ZHO ZHP - *** .
ZHQ ZHR - *** .
ZHS ZHT - *** .
ZHU ZHV - *** .
ZHW ZHX - *** .
ZIA ZIB - *** .
ZIC ZID - *** .
ZIE ZIF - *** .
ZIG ZIH - *** .
ZII ZIJ - *** .
ZIK ZIL - *** .
ZIM ZIN - *** .
ZIO ZIP - *** .
ZIQ ZIR - *** .
ZIS ZIT - *** .
ZIU ZIV - *** .
ZIW ZIX - *** .
 
ZJA ZJB - ICN .
ZJC ZJD - ICO .
ZJE ZJF - ICP .
ZJG ZJH - OCO .
ZJI ZJJ - OCP .
ZJK ZJL - IAM .
ZJM ZJN - OAM .
ZJO ZJP - OAN .
ZJQ ZJR - IAN .
ZJS ZJT - IAO .
ZJU ZJV - IAP .
ZJW ZJX - OAO .
ZKA ZKB - OAP .
ZKC ZKD - ICM .
ZKE ZKF - OCM .
