A1XE vsa 
A1XD VSA 
A3PB gic 
A3PC GIC 
A3PD hic 
A3PE HIC 
A4AD did 
A4AE DID 
A5PB vua 
A5PC VUA 
A6PB vta 
A6PC VTA 
A7PB gid 
A7PC GID 
A7PD hid 
A7PE HID 
ABXE RMA 
ABXD rma 
ACPB gaa 
ACPC GAA 
AFXE RMB 
AFXD rmb 
AGPB gab 
AGPC GAB 
AIXE vma 
AIXD VMA 
AJXE RMC 
AJXD rmc 
AKPB gac 
AKPC GAC 
ALPB vna 
ALPC VNA 
AMPB voa 
AMPC VOA 
ANXE RMD 
ANXD rmd 
AOPB gad 
AOPC GAD 
ASPB gia 
ASPC GIA 
ATPB hia 
ATPC HIA 
AWPB gib 
AWPC GIB 
AWPD hib 
AWPE HIB 
AXKH dib 
AXKI DIB 
AXKF dic 
AXKG DIC 
B1UF EIC 
B1UG eic 
B1UI EID 
B1UH eid 
B3AD CID 
B3AE cid 
B4ME BIC 
B4MD bic 
B4MF BIG 
B4MG big 
B5LG TCI 
B5LF tci 
B7DF CIE 
B7DG cie 
BALG TCA 
BALF tca 
BALH TDA 
BALI tda 
BCLG TAA 
BCLF taa 
BCLH tba 
BCLI TBA 
BEUF EAA 
BEUG eaa 
BEUI EAB 
BEUH eab 
BGKH CAB 
BGKI cab 
BGKF CAC 
BGKG cac 
BIUF EAC 
BIUG eac 
BIUI EAD 
BIUH ead 
BKAD CAD 
BKAE cad 
BODF CAE 
BODG cae 
BRHG FAI 
BRHF fai 
BSNI KAB 
BSNH kab 
BTAD PCA 
BTAE pca 
BUUF EIA 
BUUG eia 
BUUI EIB 
BUUH eib 
BWKH CIB 
BWKI cib 
BWKF CIC 
BWKG cic 
BXME BIB 
BXMD bib 
BXMF BIF 
BXMG bif 
C1ME aic 
C1MD AIC 
C3LG syb 
C3LF SYB 
C3LH syc 
C3LI SYC 
C3LN syd 
C3LM SYD 
C4TB RCA 
C4TA rca 
C4TM rga 
C4TN RGA 
C5PB aid 
C5PC AID 
C5PD BID 
C5PE bid 
C6PB OCC 
C6PC occ 
C6PD OCD 
C6PE ocd 
C7PB OAB 
C7PC oab 
CAPB aaa 
CAPC AAA 
CAPD BAA 
CAPE baa 
CEPB aab 
CEPC AAB 
CEPD BAB 
CEPE bab 
CFPB OAA 
CFPC oaa 
CGKH YAC 
CGKI yac 
CGKF YAD 
CGKG yad 
CHQF JAA 
CHQG jaa 
CHQE jba 
CHQD JBA 
CIPB aac 
CIPC AAC 
CIPD BAC 
CIPE bac 
CJXE OAC 
CJXD oac 
CKLG swb 
CKLF SWB 
CKLH swc 
CKLI SWC 
CKLN swd 
CKLM SWD 
CLTB RAA 
CLTA raa 
CLTM rea 
CLTN REA 
CMPB aad 
CMPC AAD 
CMPD BAD 
CMPE bad 
CNXE OAD 
CNXD oad 
CPTB SAA 
CPTA saa 
CPTM sba 
CPTN SBA 
CQPB aia 
CQPC AIA 
CQPD BIA 
CQPE bia 
CUME aib 
CUMD AIB 
CVPB OCA 
CVPC oca 
CVPD OCB 
CVPE ocb 
CXQF JAE 
CXQG jae 
CXQE jbe 
CXQD JBE 
D1XE vsb 
