B1LG TAA 
B1LF taa 
B1LH TBA 
B1LI tba 
B1LN TCA 
B1LM tca 
B1LA TDA 
B1LB tda 
B4BI GGA 
B4BH gga 
B4BF GGI 
B4BG ggi 
B4BE GGQ 
B4BD ggq 
B5PB eca 
B5PC ECA 
B5PD ecb 
B5PE ECB 
B7XE FJA 
B7XD fja 
B7XF FTA 
B7XG fta 
B8BI GHA 
B8BH gha 
B8BF GHI 
B8BG ghi 
B8BE GHQ 
B8BD ghq 
BCXE FBA 
BCXD fba 
BCXF FLA 
BCXG fla 
BDBI GAA 
BDBH gaa 
BEXE FAA 
BEXD faa 
BGXE FCA 
BGXD fca 
BGXF FMA 
BGXG fma 
BHBI GBA 
BHBH gba 
BHBF GBI 
BHBG gbi 
BHBE GBQ 
BHBD gbq 
BJBI GIA 
BJBH gia 
BJBF GII 
BJBG gii 
BKXE FDA 
BKXD fda 
BKXF FNA 
BKXG fna 
BLBI GCA 
BLBH gca 
BLBF GCI 
BLBG gci 
BLBE GCQ 
BLBD gcq 
BNXE FEA 
BNXD fea 
BNXF FOA 
BNXG foa 
BOXE FFA 
BOXD ffa 
BOXF FPA 
BOXG fpa 
BPBI GDA 
BPBH gda 
BPBF GDI 
BPBG gdi 
BPBE GDQ 
BPBD gdq 
BRXE FGA 
BRXD fga 
BRXF FQA 
BRXG fqa 
BSXE FHA 
BSXD fha 
BSXF FRA 
BSXG fra 
BTBI GEA 
BTBH gea 
BTBF GEI 
BTBG gei 
BTBE GEQ 
BTBD geq 
BVXE FIA 
BVXD fia 
BWXE FSA 
BWXD fsa 
BXBI GFA 
BXBH gfa 
BXBF GFI 
BXBG gfi 
BXBE GFQ 
BXBD gfq 
C1LG TEI 
C1LF tei 
C1LH TFI 
C1LI tfi 
C1LN TGI 
C1LM tgi 
C1LA THI 
C1LB thi 
C2XE OGA 
C2XD oga 
C3XE OCA 
C3XD oca 
C4JG JCA 
C4JF jca 
C5XE EAA 
C5XD eaa 
C6XE OHA 
C6XD oha 
C7PB DHA 
C7PC dha 
C7PD DHB 
C7PE dhb 
CALG TEA 
CALF tea 
CALH TFA 
CALI tfa 
CALN TGA 
CALM tga 
CALA THA 
CALB tha 
CBXE OAA 
CBXD oaa 
CCPB DAA 
CCPC daa 
CCPD DAB 
CCPE dab 
CDLG ORA 
CDLF ora 
CDLH ORB 
CDLI orb 
CFXE OBA 
CFXD oba 
CGPB DBA 
CGPC dba 
CGPD DBB 
CGPE dbb 
CIJG tqa 
CIJF TQA 
CIJH tqb 
CIJI TQB 
CIJN tqc 
CIJM TQC 
CIJA tqd 
CIJB TQD 
CJPB DGA 
CJPC dga 
CJPD DGB 
CJPE dgb 
CKPB DCA 
CKPC dca 
CKPD DCB 
CKPE dcb 
CLLG ORC 
CLLF orc 
CLLH ORD 
CLLI ord 
CMLG TEQ 
CMLF teq 
CMLH TFQ 
CMLI tfq 
CMLN TGQ 
CMLM tgq 
CMLA THQ 
CMLB thq 
CNXE ODA 
CNXD oda 
COPB DDA 
COPC dda 
COPD DDB 
COPE ddb 
CPME AAA 
CPMD aaa 
CPMF OKA 
CPMG oka 
CQLG TIA 
CQLF tia 
CQLH TJA 
CQLI tja 
CQLN TKA 
CQLM tka 
CQLA TLA 
CQLB tla 
CRXE OEA 
CRXD oea 
CSPB DEA 
CSPC dea 
CSPD DEB 
CSPE deb 
CTII wad 
CTIH WAD 
CUJG tqe 
CUJF TQE 
CUJH tqf 
CUJI TQF 
CUJN tqg 
CUJM TQG 
CUJA tqh 
CUJB TQH 
CVXE OFA 
CVXD ofa 
CWPB DFA 
CWPC dfa 
CWPD DFB 
CWPE dfb 
CXLG CAA 
CXLF caa 
CXLH CBA 
CXLI cba 
CXLN CCA 
CXLM cca 
CXLA CDA 
CXLB cda 
E1LG TAB 
E1LF tab 
E1LH TBB 
E1LI tbb 
E1LN TCB 
E1LM tcb 
E1LA TDB 
E1LB tdb 
E4BI GGB 
E4BH ggb 
E4BF GGJ 
E4BG ggj 
E4BE GGR 
E4BD ggr 
E5PB ecc 
E5PC ECC 
E5PD ecd 
E5PE ECD 
E7XE FJB 
E7XD fjb 
E7XF FTB 
E7XG ftb 
E8BI GHB 
E8BH ghb 
E8BF GHJ 
E8BG ghj 
E8BE GHR 
E8BD ghr 
ECXE FBB 
ECXD fbb 
ECXF FLB 
ECXG flb 
EDBI GAB 
EDBH gab 
EEXE FAB 
EEXD fab 
EGXE FCB 
EGXD fcb 
EGXF FMB 
EGXG fmb 
EHBI GBB 
EHBH gbb 
EHBF GBJ 
EHBG gbj 
EHBE GBR 
EHBD gbr 
EJBI GIB 
EJBH gib 
EJBF GIJ 
EJBG gij 
EKXE FDB 
EKXD fdb 
EKXF FNB 
EKXG fnb 
ELBI GCB 
ELBH gcb 
