AAOM UAA 
AAON uaa 
AAOI UAB 
AAOH uab 
AAOF UAC 
AAOE uac 
ABRB RAA 
ABRA RAB 
ABRN RAC 
ABRM RAD 
ACRB RAA 
ACRA RAB 
ACRN RAC 
ACRM RAD 
ADRB RAA 
ADRA RAB 
ADRN RAC 
ADRM RAD 
AEOM UAD 
AEON uad 
AEOI UAE 
AEOH uae 
AEOF UAF 
AEOE uaf 
AFJG GAA 
AFJF gaa 
AFJH GAB 
AFJI gab 
AFJN GAC 
AFJM gac 
AFJA GAD 
AFJB gad 
AGRB RAI 
AGRA RAJ 
AGRN RAK 
AGRM RAL 
AHRB RAI 
AHRA RAJ 
AHRN RAK 
AHRM RAL 
AIOM ubd 
AION UBD 
AIOI ube 
AIOH UBE 
AIOF ubf 
AIOE UBF 
AJRB RBA 
AJRA RBB 
AJRN RBC 
AJRM RBD 
AKRB RBA 
AKRA RBB 
AKRN RBC 
AKRM RBD 
ALRB RBA 
ALRA RBB 
ALRN RBC 
ALRM RBD 
AMOM uba 
AMON UBA 
AMOI ubb 
AMOH UBB 
AMOF ubc 
AMOE UBC 
ANJG GBA 
ANJF gba 
ANJH GBB 
ANJI gbb 
ANJN GBC 
ANJM gbc 
ANJA GBD 
ANJB gbd 
AORB RBI 
AORA RBJ 
AORN RBK 
AORM RBL 
APRB RBI 
APRA RBJ 
APRN RBK 
APRM RBL 
AQOM UCA 
AQON uca 
AQOI UCB 
AQOH ucb 
AQOF UCC 
AQOE ucc 
ARJG GCA 
ARJF gca 
ARJH GCB 
ARJI gcb 
ARJN GCC 
ARJM gcc 
ARJA GCD 
ARJB gcd 
ASRB RCA 
ASRA RCB 
ASRN RCC 
ASRM RCD 
ATRB RCA 
ATRA RCB 
ATRN RCC 
ATRM RCD 
AUOM UCD 
AUON ucd 
AUOI UCE 
AUOH uce 
AUOF UCF 
AUOE ucf 
AVRB RCI 
AVRA RCJ 
AVRN RCK 
AVRM RCL 
AWRB RCI 
AWRA RCJ 
AWRN RCK 
AWRM RCL 
AXRB RCI 
AXRA RCJ 
AXRN RCK 
AXRM RCL 
A1OM udd 
A1ON UDD 
A1OI ude 
A1OH UDE 
A1OF udf 
A1OE UDF 
A2JG GDA 
A2JF gda 
A2JH GDB 
A2JI gdb 
A2JN GDC 
A2JM gdc 
A2JA GDD 
A2JB gdd 
A3RB RDA 
A3RA RDB 
A3RN RDC 
A3RM RDD 
A4RB RDA 
A4RA RDB 
A4RN RDC 
