AAME PAA 
AAMD paa 
AAMF PCA 
AAMG pca 
ABKH JGA 
ABKI jga 
ABKF JPA 
ABKG jpa 
ACJG JGI 
ACJF jgi 
ACJH JDI 
ACJI jdi 
AEME PAI 
AEMD pai 
AEMF PCI 
AEMG pci 
AEMI PEI 
AEMH pei 
AFPB qva 
AFPC QVA 
AFPD qvj 
AFPE QVJ 
AGME BAI 
AGMD bai 
AGMF BCI 
AGMG bci 
AGMI BEI 
AGMH bei 
AHPB haa 
AHPC HAA 
AHPD hab 
AHPE HAB 
AIME PBA 
AIMD pba 
AIMF PDA 
AIMG pda 
AIMI PFA 
AIMH pfa 
AJJG TPC 
AJJF tpc 
AJJH TPD 
AJJI tpd 
AJJN TPA 
AJJM tpa 
AJJA TPB 
AJJB tpb 
AKME BBA 
AKMD bba 
AKMF BDA 
AKMG bda 
AKMI BFA 
AKMH bfa 
ALPB hac 
ALPC HAC 
ALPD had 
ALPE HAD 
AMME PBI 
AMMD pbi 
AMMF PDI 
AMMG pdi 
AMMI PFI 
AMMH pfi 
ANHG JHI 
ANHF jhi 
ANHH JHA 
ANHI jha 
AOME BBI 
AOMD bbi 
AOMF BDI 
AOMG bdi 
AOMI BFI 
AOMH bfi 
APJG JEA 
APJF jea 
APJA jei 
APJB JEI 
AQLG hba 
AQLF HBA 
AQLH hca 
AQLI HCA 
AQLN hda 
AQLM HDA 
AQLA hea 
AQLB HEA 
ARLG hbb 
ARLF HBB 
ARLH hcb 
ARLI HCB 
ARLN hdb 
ARLM HDB 
ARLA heb 
ARLB HEB 
ASLG hbc 
ASLF HBC 
ASLH hcc 
ASLI HCC 
ASLN hdc 
ASLM HDC 
ASLA hbh 
ASLB HBH 
AULG hbe 
AULF HBE 
AULH hce 
AULI HCE 
AULN hde 
AULM HDE 
AULA hbd 
AULB HBD 
AVLG hbf 
AVLF HBF 
AVLH hcf 
AVLI HCF 
AVLN hdf 
AVLM HDF 
AVLA hcd 
AVLB HCD 
AWLG hbg 
AWLF HBG 
AWLH hcg 
AWLI HCG 
AWLA hdd 
AWLB HDD 
A1LG hch 
A1LF HCH 
A1LH hdh 
A1LI HDH 
A1LN heh 
A1LM HEH 
A2LG HAE 
A2LF hae 
A2LH HAF 
A2LI haf 
A2LN HAG 
A2LM hag 
A2LA HAH 
A2LB hah 
A3JG JAD 
A3JF jad 
A3JN JAE 
A3JM jae 
A3JA JAF 
A3JB jaf 
A8ME LBA 
A8MD lba 
BCOM aci 
BCON ACI 
BCOI ada 
BCOH ADA 
BCOF adi 
BCOE ADI 
BDCF BGA 
BDCG bga 
BGXE CCA 
BGXD cca 
BHCF BGC 
BHCG bgc 
BKXE CCB 
BKXD ccb 
BLCF BGE 
BLCG bge 
BOOM gaa 
BOON GAA 
BOOI gai 
BOOH GAI 
BOOF gab 
BOOE GAB 
BPCF BGG 
BPCG bgg 
BSPB gao 
BSPC GAO 
BSPD gbh 
BSPE GBH 
BTHG FAI 
BTHF fai 
BTHH FBA 
BTHI fba 
BWPB gci 
BWPC GCI 
BWPD gam 
BWPE GAM 
B1LG HDI 
B1LF hdi 
B1LH HDJ 
B1LI hdj 
B1LN HDK 
B1LM hdk 
B1LA HDL 
B1LB hdl 
B3LG QQI 
B3LF qqi 
B4PB QTA 
B4PC qta 
B4PD RJA 
B4PE rja 
B5JG JMA 
B5JF jma 
B5JH JMB 
B5JI jmb 
B7PB QND 
B7PC qnd 
B7PD qoa 
B7PE QOA 
B8IG jaq 
B8IF JAQ 
CACF BGB 
CACG bgb 
CBXE AAA 
CBXD aaa 
CCKH WAA 
CCKI waa 
CCKF WAI 
CCKG wai 
CDPB OAA 
CDPC oaa 
CDPD OAI 
CDPE oai 
CECF BGD 
CECG bgd 
CFXE ASI 
CFXD asi 
CFXF AAI 
CFXG aai 
CGJG TBA 
CGJF tba 
CGJH TBB 
CGJI tbb 
CGJN tbc 
CGJM TBC 
CGJA tbd 
CGJB TBD 
