A1SA MAG 
A1SZ mag 
A5SA MAH 
A5SZ mah 
A6SA MAI 
A6SZ mai 
AASA MAA 
AASZ maa 
ABII faa 
ABIH FAA 
ABIE fab 
ABID FAB 
ACHG JHA 
ACHF jha 
ACHH JHE 
ACHI jhe 
ADPB bab 
ADPC BAB 
AESA MAB 
AESZ mab 
AFII fac 
AFIH FAC 
AFIE fad 
AFID FAD 
AGLG ACA 
AGLF aca 
AGLH ACB 
AGLI acb 
AHKH EAA 
AHKI eaa 
AHKF EAB 
AHKG eab 
AISA MAC 
AISZ mac 
AJII fae 
AJIH FAE 
AJIE faf 
AJID FAF 
AKPB ABA 
AKPC aba 
AKPD ABB 
AKPE abb 
ALPB AAA 
ALPC aaa 
ALPD AAB 
ALPE aab 
AMSA MAD 
AMSZ mad 
ANII fag 
ANIH FAG 
ANIE fah 
ANID FAH 
AOJG jma 
AOJF JMA 
AOJH jna 
AOJI JNA 
AQSA MAE 
AQSZ mae 
ARII fai 
ARIH FAI 
ARIE faj 
ARID FAJ 
ASME VAA 
ASMD vaa 
ASMF VBA 
ASMG vba 
AUSA MAF 
AUSZ maf 
AVII fak 
AVIH FAK 
AVIE fal 
AVID FAL 
B2WD ZZE 
B2WE zze 
B3LG QCB 
B3LF qcb 
B3LH QCC 
B3LI qcc 
B3LN QCE 
B3LM qce 
B3LA QCF 
B3LB qcf 
B4PB QCJ 
B4PC qcj 
B6WD ZZF 
B6WE zzf 
B7LG QCG 
B7LF qcg 
B8PB QBG 
B8PC qbg 
B8PD QTA 
B8PE qta 
BBWD ZZA 
BBWE zza 
BCPB HAA 
BCPC haa 
BCPD HAI 
BCPE hai 
BDLG NAA 
BDLF naa 
BDLH NAI 
BDLI nai 
BDLN NBA 
BDLM nba 
BDLA NBI 
BDLB nbi 
BFWD ZZB 
BFWE zzb 
BGFL JCA 
BGFM JCB 
BGFN JCC 
BGFA JCD 
BGFF JCE 
BGFG JCF 
BGFH JCG 
BGFI JCH 
BGFE JCI 
BIHG uaa 
BIHF UAA 
BIHH zzo 
BIHI ZZO 
BJWD ZZC 
BJWE zzc 
BKME PAA 
BKMD paa 
BKMF PBA 
BKMG pba 
BMXE RAA 
BMXD raa 
BMXF RAI 
BMXG rai 
BNII JAA 
BNIH jaa 
BNIE JBA 
BNID jba 
BNIG TAJ 
BNIF taj 
BOLG QCI 
BOLF qci 
BPLG RBA 
BPLF rba 
BPLH RCA 
BPLI rca 
BPLN RDA 
BPLM rda 
BPLA REA 
BPLB rea 
BQAD taa 
BQAE TAA 
BQAG tae 
BQAF TAE 
BRXE QAA 
BRXD qaa 
BRXF QAE 
BRXG qae 
BSHG jfa 
BSHF JFA 
BTLG gaa 
BTLF GAA 
BTLH rbi 
BTLI RBI 
BUAD laa 
BUAE LAA 
BVWD ZZD 
BVWE zzd 
BWPB qca 
BWPC QCA 
