A1HG JCA 
A1HF jca 
A1HH JCB 
A1HI jcb 
A2HG JCC 
A2HF jcc 
A2HH JCD 
A2HI jcd 
A3HG JDA 
A3HF jda 
A3HH JDB 
A3HI jdb 
A4HG JDC 
A4HF jdc 
A4HH JDD 
A4HI jdd 
A5XE AAA 
A5XD aaa 
A6XE AAI 
A6XD aai 
A7XE ABA 
A7XD aba 
A8XE ABI 
A8XD abi 
AAXE BAA 
AAXD baa 
ABXE BAI 
ABXD bai 
ACXE BBA 
ACXD bba 
ADXE BBI 
ADXD bbi 
AELG BCA 
AELF bca 
AELH BCB 
AELI bcb 
AELN BCC 
AELM bcc 
AELA BCD 
AELB bcd 
AFPB EAA 
AFPC eaa 
AGPB EAB 
AGPC eab 
AHPB EAC 
AHPC eac 
AIPB EAD 
AIPC ead 
AJXE MAA 
AJXD maa 
AKXE MAI 
AKXD mai 
ALXE MBA 
ALXD mba 
AMXE MBI 
AMXD mbi 
ANLG QAA 
ANLF qaa 
ANLH QAB 
ANLI qab 
ANLN QAC 
ANLM qac 
ANLA QAD 
ANLB qad 
AOLG QAE 
AOLF qae 
AOLH QAF 
AOLI qaf 
AOLN QAG 
AOLM qag 
AOLA QAH 
AOLB qah 
APLG QAI 
APLF qai 
APLH QAJ 
APLI qaj 
APLN QAK 
APLM qak 
APLA QAL 
APLB qal 
AQPB QDA 
AQPC qda 
ARPB QDB 
ARPC qdb 
ASPB QDC 
ASPC qdc 
ATII NAA 
ATIH naa 
ATIE NAB 
ATID nab 
ATIG NAC 
ATIF nac 
AUII NAD 
AUIH nad 
AUIE NAE 
AUID nae 
AUIG NAF 
AUIF naf 
AVII NAG 
AVIH nag 
AVIE NAH 
AVID nah 
AVIG NAI 
AVIF nai 
AWII NAJ 
AWIH naj 
AWIE NAK 
AWID nak 
AWIG NAL 
AWIF nal 
AXII NAM 
AXIH nam 
AXIE NAN 
AXID nan 
AXIG NAO 
AXIF nao 
B1XE KAA 
B1XD kaa 
B2XE KAI 
B2XD kai 
B3XE KBA 
B3XD kba 
B4XE KBI 
B4XD kbi 
B5KH ACA 
B5KI aca 
B6KH ACI 
B6KI aci 
B7KH ADA 
B7KI ada 
B8KH ADI 
B8KI adi 
BAII NBD 
BAIH nbd 
BAIE NBE 
BAID nbe 
BAIG NBF 
BAIF nbf 
BBII NBG 
BBIH nbg 
BBIE NBH 
BBID nbh 
BBIG NBI 
BBIF nbi 
BCII NBJ 
BCIH nbj 
BCIE NBK 
BCID nbk 
BCIG NBL 
BCIF nbl 
BDII NBM 
BDIH nbm 
BDIE NBN 
BDID nbn 
BDIG NBO 
BDIF nbo 
BEII NAP 
BEIH nap 
BEIE NBP 
BEID nbp 
BFII NBA 
BFIH nba 
BFIE NBB 
BFID nbb 
BFIG NBC 
BFIF nbc 
BGPB eia 
BGPC EIA 
BHPB eib 
BHPC EIB 
BIPB eic 
BIPC EIC 
BJPB eid 
BJPC EID 
BKOM QEA 
BKON qea 
BLPB QEB 
BLPC qeb 
BMPB QEC 
BMPC qec 
BNME qdd 
BNMD QDD 
BOLG TBA 
BOLF tba 
BOLH TBB 
BOLI tbb 
BOLN TCA 
BOLM tca 
BOLA TCB 
BOLB tcb 
BPLG QFA 
BPLF qfa 
BPLH QFB 
BPLI qfb 
BPLN QFC 
BPLM qfc 
BPLA QFD 
BPLB qfd 
BQKH QFE 
BQKI qfe 
BRLG QBA 
BRLF qba 
BRLH QBB 
BRLI qbb 
BRLN QBC 
BRLM qbc 
BRLA QBD 
BRLB qbd 
BSLG QBH 
BSLF qbh 
BTLG TFA 
BTLF tfa 
BTLH TFB 
BTLI tfb 
BTLN TGA 
BTLM tga 
BTLA TGB 
BTLB tgb 
BUBI JAA 
BUBH jaa 
BVBI JAI 
BVBH jai 
BWBI JBA 
BWBH jba 
BXBI JBI 
BXBH jbi 
C1DF GAE 
C1DG gae 
C2AD GAD 
C2AE gad 
C3UF DAA 
C3UE daa 
C3UI DAI 
C3UH dai 
C4UF DBA 
C4UE dba 
C4UI DBI 
C4UH dbi 
C5OM LAA 
C5ON laa 
C5OI LAB 
C5OH lab 
C5OF LAC 
C5OE lac 
C6OM LBA 
C6ON lba 
C6OI LBB 
C6OH lbb 
C6OF LBC 
C6OE lbc 
C7LG TPA 
C7LF tpa 
C7LH TPB 
C7LI tpb 
C8LG TPC 
C8LF tpc 
C8LH TPD 
C8LI tpd 
CBLG TPE 
CBLF tpe 
CBLH TPF 
CBLI tpf 
CCLG TPG 
CCLF tpg 
CCLH TPH 
CCLI tph 
CDOM OAA 
CDON oaa 
CDOI OAI 
CDOH oai 
CELG OEC 
CELF oec 
CFXE QAP 
CFXD qap 
CGLG QBI 
CGLF qbi 
CGLH QBJ 
CGLI qbj 
CGLN QBK 
CGLM qbk 
CGLA QBL 
CGLB qbl 
CHOM OBA 
CHON oba 
CHOI OBI 
CHOH obi 
CIXE QAQ 
CIXD qaq 
CJXE oea 
CJXD OEA 
CKXE oeb 
