A1PB DJA 
A1PC dja 
A1PD DJB 
A1PE djb 
A2PB DJC 
A2PC djc 
A2PD DJD 
A2PE djd 
A3RB RJA 
A3RA RJB 
A3RN RJC 
A3RM RJD 
A4PB HFA 
A4PC hfa 
A4PD HFB 
A4PE hfb 
A5HG KCA 
A5HF kca 
A6XE cca 
A6XD CCA 
A6XF cce 
A6XG CCE 
A7RB RJE 
A7RA RJF 
A7RN RJG 
A7RM RJH 
A8PB HFE 
A8PC hfe 
A8PD HFF 
A8PE hff 
ABOM DAC 
ABON dac 
ABOI DAB 
ABOH dab 
ABOF DAA 
ABOE daa 
ACRB RAA 
ACRA RAB 
ACRN RAC 
ACRM RAD 
ADPB HAA 
ADPC haa 
ADPD HAB 
ADPE hab 
AFLG waa 
AFLF WAA 
AFLH tdb 
AFLI TDB 
AGRB RAE 
AGRA RAF 
AHPB HAE 
AHPC hae 
AHPD HAF 
AHPE haf 
AIHG KAA 
AIHF kaa 
AIHH JCA 
AIHI jca 
AJXE caa 
AJXD CAA 
AJXF cad 
AJXG CAD 
AQPB DGB 
AQPC dgb 
AQPD DGA 
AQPE dga 
ARPB DGC 
ARPC dgc 
ARPD DGD 
ARPE dgd 
ASRB RGA 
ASRA RGB 
ASRN RGC 
ASRM RGD 
ATPB HEA 
ATPC hea 
ATPD HEB 
ATPE heb 
AULG cci 
AULF CCI 
AVLG thb 
AVLF THB 
AVLH wag 
AVLI WAG 
AVLN tgb 
AVLM TGB 
AVLA waj 
AVLB WAJ 
AWRB RGE 
AWRA RGF 
AWRN RGG 
AWRM RGH 
AXPB HEE 
AXPC hee 
AXPD HEF 
AXPE hef 
B3LG HID 
B3LF hid 
B3LH HIA 
B3LI hia 
B3LN HIB 
B3LM hib 
B3LA HIC 
B3LB hic 
BCME paa 
BCMD PAA 
BDII EAA 
BDIH eaa 
BGME pba 
BGMD PBA 
BHII JBA 
BHIH jba 
BHIE JBG 
BHID jbg 
BHIG EBA 
BHIF eba 
BKME pca 
BKMD PCA 
BLII ECA 
BLIH eca 
BOME pda 
BOMD PDA 
BPII EDA 
BPIH eda 
BQLG GED 
BQLF ged 
BQLH GEA 
BQLI gea 
BQLN GEB 
BQLM geb 
BQLA GEC 
BQLB gec 
C1LG HKD 
C1LF hkd 
C1LH HKA 
C1LI hka 
C1LN HKB 
C1LM hkb 
C1LA HKC 
C1LB hkc 
C4LG OPC 
C4LF opc 
C4LH OPD 
C4LI opd 
C4LN OPE 
C4LM ope 
C8LG ona 
C8LF ONA 
C8LH onb 
C8LI ONB 
C8LN onc 
C8LM ONC 
CDME NAA 
CDMD naa 
CDMF OAA 
CDMG oaa 
CELG ada 
CELF ADA 
CELH adg 
CELI ADG 
CFXE AAG 
CFXD aag 
CGFL FAA 
CGFM FAB 
CGFN FAC 
CGFA FAD 
CGFF FAE 
CGFG FAF 
CGFH FAG 
CGFI FAH 
CGFE FAI 
CHME NBA 
CHMD nba 
CHMF OAI 
CHMG oai 
CJXE AAA 
CJXD aaa 
CKHG laa 
CKHF LAA 
CLME NCA 
CLMD nca 
CLMF OBA 
CLMG oba 
CMPB baa 
CMPC BAA 
CNPB bag 
CNPC BAG 
COXE ODA 
COXD oda 
COXF OEA 
COXG oea 
CPME NDA 
CPMD nda 
CPMF OBI 
CPMG obi 
CQLG OPF 
CQLF opf 
CRLG GAD 
CRLF gad 
CRLH GAA 
CRLI gaa 
CRLN GAB 
CRLM gab 
CRLA GAC 
CRLB gac 
CSPB ofa 
CSPC OFA 
CSPD oga 
CSPE OGA 
CTPB oia 
CTPC OIA 
CTPD oha 
CTPE OHA 
CVLG acg 
CVLF ACG 
CVLH aba 
CVLI ABA 
CVLN aca 
CVLM ACA 
CVLA abg 
CVLB ABG 
CWPB oja 
CWPC OJA 
CWPD oka 
CWPE OKA 
CXPB ola 
CXPC OLA 
CXPD oma 
CXPE OMA 
D2PB DKC 
D2PC dkc 
D2PD DKD 
D2PE dkd 
D3RB RKA 
D3RA RKB 
D3RN RKC 
D3RM RKD 
D4PB HFC 
D4PC hfc 
D4PD HFD 
D4PE hfd 
D5HG KCB 
D5HF kcb 
D6XE ccb 
D6XD CCB 
D6XF ccf 
D6XG CCF 
D7RB RKE 
D7RA RKF 
D7RN RKG 
D7RM RKH 
D8PB HFG 
D8PC hfg 
D8PD HFH 
D8PE hfh 
DBOM DBC 
DBON dbc 
DBOI DBB 
DBOH dbb 
DBOF DBA 
DBOE dba 
DCRB RBA 
DCRA RBB 
DCRN RBC 
DCRM RBD 
DDPB HAC 
DDPC hac 
DDPD HAD 
DDPE had 
DFLG wab 
DFLF WAB 
DFLH tdc 
DFLI TDC 
DGRB RBE 
DGRA RBF 
DIHG KAB 
DIHF kab 
DJXE cab 
DJXD CAB 
DJXF cae 
DJXG CAE 
DLPB DKA 
DLPC dka 
DLPD DKB 
DLPE dkb 
DQPB DHA 
DQPC dha 
DQPD DHB 
DQPE dhb 
DRPB DHC 
DRPC dhc 
DRPD DHD 
DRPE dhd 
DSRB RHA 
DSRA RHB 
DSRN RHC 
DSRM RHD 
DTPB HEC 
DTPC hec 
DTPD HED 
DTPE hed 
DULG ccj 
DULF CCJ 
DVLG thc 
DVLF THC 
DVLH wah 
DVLI WAH 
DVLN tgc 
DVLM TGC 
DVLA wak 
DVLB WAK 
DWRB RHE 
DWRA RHF 
DWRN RHG 
DWRM RHH 
DXPB HEG 
DXPC heg 
DXPD HEH 
DXPE heh 
E3LG HIH 
E3LF hih 
E3LH HIE 
E3LI hie 
E3LN HIF 
E3LM hif 
E3LA HIG 
E3LB hig 
ECME pab 
ECMD PAB 
EDII EAB 
EDIH eab 
EGME pbb 
EGMD PBB 
EHII JBB 
EHIH jbb 
EHIE JBH 
EHID jbh 
EHIG EBB 
EHIF ebb 
EKNI pcb 
EKNH PCB 
ELII ECB 
ELIH ecb 
EOME pdb 
EOMD PDB 
EPII EDB 
EPIH edb 
EULG GEH 
EULF geh 
EULH GEE 
EULI gee 
EULN GEF 
EULM gef 
EULA GEG 
EULB geg 
F1LG HKH 
F1LF hkh 
F1LH HKE 
F1LI hke 
F1LN HKF 
F1LM hkf 
F1LA HKG 
F1LB hkg 
F3XE AAB 
F3XD aab 
F4LG OPJ 
F4LF opj 
F4LH OPG 
F4LI opg 
F4LN OPH 
F4LM oph 
F4LA OPI 
F4LB opi 
F8LG ond 
F8LF OND 
F8LH one 
F8LI ONE 
F8LN onf 
F8LM ONF 
FDME NAB 
FDMD nab 
FDMF OAB 
FDMG oab 
FELG adb 
FELF ADB 
FELH adh 
FELI ADH 
FFXE AAH 
FFXD aah 
FGFL FBA 
FGFM FBB 
FGFN FBC 
FGFA FBD 
FGFF FBE 
FGFG FBF 
FGFH FBG 
FGFI FBH 
FGFE FBI 
FHME NBB 
FHMD nbb 
FHMF OAJ 
FHMG oaj 
FKHG lab 
FKHF LAB 
FLME NCB 
FLMD ncb 
FLMF OBB 
FLMG obb 
FMLG ach 
FMLF ACH 
FMLH abb 
FMLI ABB 
FMLN acb 
FMLM ACB 
FMLA abh 
FMLB ABH 
FNPB bab 
FNPC BAB 
FNPD bah 
FNPE BAH 
FOXE ODB 
FOXD odb 
FOXF OEB 
FOXG oeb 
FPME NDB 
FPMD ndb 
FPMF OBJ 
FPMG obj 
FRLG GAH 
FRLF gah 
FRLH GAE 
FRLI gae 
FRLN GAF 
FRLM gaf 
FRLA GAG 
FRLB gag 
FSPB ofb 
FSPC OFB 
FSPD ogb 
FSPE OGB 
FTPB ohb 
FTPC OHB 
FTPD oib 
FTPE OIB 
FWPB ojb 
FWPC OJB 
FWPD okb 
FWPE OKB 
FXPB olb 
FXPC OLB 
FXPD omb 
FXPE OMB 
G1PB DLA 
G1PC dla 
G1PD DLB 
G1PE dlb 
G2PB DLC 
G2PC dlc 
G2PD DLD 
G2PE dld 
G3RB RLA 
G3RA RLB 
G3RN RLC 
G3RM RLD 
G5HG KCC 
G5HF kcc 
G6XE ccc 
G6XD CCC 
G6XF ccg 
G6XG CCG 
G7RB RLE 
G7RA RLF 
G7RN RLG 
G7RM RLH 
GBOM DCC 
GBON dcc 
GBOI DCB 
GBOH dcb 
GBOF DCA 
GBOE dca 
GCRB RCA 
GCRA RCB 
GCRN RCC 
GCRM RCD 
GDLG QCB 
