*
* Connector Definitions
* Module: SF
* Description: Memory Module
* Revision: 0
* Date: 
* 
ZAA ZAB - ONA.
ZAC ZAD - OOA.
ZAE ZAF - IJA.
ZAG ZAH - OMA.

ZAI ZAJ - OLA.
ZAK ZAL - ***.
ZAM ZAN - ***.
ZAO ZAP - OEA.

ZAQ ZAR - IEA.
ZAS ZAT - ***.
ZAU ZAV - ***.
ZAW ZAX - OEB.

ZBA ZBB - IPA.
ZBC ZBD - IEB.
ZBE ZBF - ***.
ZBG ZBH - OEC.

ZBI ZBJ - IPC.
ZBK ZBL - IPB.
ZBM ZBN - IEC.
ZBO ZBP - ***.

ZBQ ZBR - OED.
ZBS ZBT - OPA.
ZBU ZBV - IIB.
ZBW ZBX - IED.

ZCA ZCB - ***.
ZCC ZCD - OEE.
ZCE ZCF - OPB.
ZCG ZCH - IEE.

ZCI ZCJ - IIA.
ZCK ZCL - IEF.
ZCM ZCN - OEF.
ZCO ZCP - OOB.

ZCQ ZCR - ONB.
ZCS ZCT - IJB.
ZCU ZCV - OLB.
ZCW ZCX - OMB.


ZDA ZDB - OQB.
ZDC ZDD - ORB.
ZDE ZDF - IQB.
ZDG ZDH - IQA.

ZDI ZDJ - OQA.
ZDK ZDL - IFA.
ZDM ZDN - ORA.
ZDO ZDP - OFA.

ZDQ ZDR - IFB.
ZDS ZDT - IPF.
ZDU ZDV - IPD.
ZDW ZDX - OFB.

ZEA ZEB - IPE.
ZEC ZED - IFC.
ZEE ZEF - ***.
ZEG ZEH - OFC.

ZEI ZEJ - IJG.
ZEK ZEL - OLG.
ZEM ZEN - IFD.
ZEO ZEP - ONG.

ZEQ ZER - OFD.
ZES ZET - OOG.
ZEU ZEV - OMG.
ZEW ZEX - IFE.

ZFA ZFB - OPE.
ZFC ZFD - OFE.
ZFE ZFF - OPD.
ZFG ZFH - IFF.

ZFI ZFJ - OPF.
ZFK ZFL - OPC.
ZFM ZFN - OFF.
ZFO ZFP - OOC.

ZFQ ZFR - ONC.
ZFS ZFT - IJC.
ZFU ZFV - OLC.
ZFW ZFX - OMC.


ZGA ZGB - OQD.
ZGC ZGD - ORD.
ZGE ZGF - IQD.
ZGG ZGH - IQC.

ZGI ZGJ - OQC.
ZGK ZGL - ORC.
ZGM ZGN - ***.
ZGO ZGP - OGA.

ZGQ ZGR - IGA.
ZGS ZGT - ***.
ZGU ZGV - ***.
ZGW ZGX - OGB.

ZHA ZHB - IPG.
ZHC ZHD - IGB.
ZHE ZHF - IGC.
ZHG ZHH - OGC.

ZHI ZHJ - IPI.
ZHK ZHL - IPH.
ZHM ZHN - OUA.
ZHO ZHP - III.

ZHQ ZHR - OGD.
ZHS ZHT - OPG.
ZHU ZHV - IIC.
ZHW ZHX - IGD.

ZIA ZIB - ***.
ZIC ZID - OGE.
ZIE ZIF - OPH.
ZIG ZIH - IGE.

ZII ZIJ - IID.
ZIK ZIL - IGF.
ZIM ZIN - OGF.
ZIO ZIP - OOD.

ZIQ ZIR - OND.
ZIS ZIT - IJD.
ZIU ZIV - OLD.
ZIW ZIX - OMD.


ZJA ZJB - OTC.
ZJC ZJD - OTD.
ZJE ZJF - ITA.
ZJG ZJH - OTA.

ZJI ZJJ - OTB.
ZJK ZJL - IHA.
ZJM ZJN - ***.
ZJO ZJP - OHA.

ZJQ ZJR - IHB.
ZJS ZJT - IPL.
ZJU ZJV - IPJ.
ZJW ZJX - OHB.

ZKA ZKB - IPK.
ZKC ZKD - IHC.
ZKE ZKF - ***.
ZKG ZKH - OHC.

ZKI ZKJ - ***.
ZKK ZKL - IZZ.
ZKM ZKN - IHD.
ZKO ZKP - ***.

ZKQ ZKR - OHD.
ZKS ZKT - ***.
ZKU ZKV - ***.
ZKW ZKX - IHE.

ZLA ZLB - OPK.
ZLC ZLD - OHE.
ZLE ZLF - OPJ.
ZLG ZLH - IHF.

ZLI ZLJ - OPL.
ZLK ZLL - OPI.
ZLM ZLN - OHF.
ZLO ZLP - OOE.

ZLQ ZLR - ONE.
ZLS ZLT - IJE.
ZLU ZLV - OLE.
ZLW ZLX - OME.


ZMA ZMB - IMA.
ZMC ZMD - OKA.
ZME ZMF - INA.
ZMG ZMH - ILA.

ZMI ZMJ - IKA.
ZMK ZML - IPM.
ZMM ZMN - ***.
ZMO ZMP - OAA.

ZMQ ZMR - IAA.
ZMS ZMT - ***.
ZMU ZMV - ***.
ZMW ZMX - OAB.

ZNA ZNB - IAB.
ZNC ZND - IPN.
ZNE ZNF - IPO.
ZNG ZNH - OAC.

ZNI ZNJ - IAC.
ZNK ZNL - OID.
ZNM ZNN - OIA.
ZNO ZNP - OIB.

ZNQ ZNR - OAD.
ZNS ZNT - OIC.
ZNU ZNV - IAD.
ZNW ZNX - OPR.

ZOA ZOB - OPN.
ZOC ZOD - OAE.
ZOE ZOF - OPM.
ZOG ZOH - IAE.

ZOI ZOJ - OPO.
ZOK ZOL - IAF.
ZOM ZON - OAF.
ZOO ZOP - INB.

ZOQ ZOR - IMB.
ZOS ZOT - ILB.
ZOU ZOV - OKB.
ZOW ZOX - IKB.


ZPA ZPB - IMC.
ZPC ZPD - OKC.
ZPE ZPF - INC.
ZPG ZPH - ILC.

ZPI ZPJ - IKC.
ZPK ZPL - IPP.
ZPM ZPN - ***.
ZPO ZPP - OBA.

ZPQ ZPR - IBA.
ZPS ZPT - ***.
ZPU ZPV - ***.
ZPW ZPX - OBB.

ZQA ZQB - IBB.
ZQC ZQD - IPQ.
ZQE ZQF - IPR.
ZQG ZQH - OBC.

ZQI ZQJ - IBC.
ZQK ZQL - ***.
ZQM ZQN - ***.
ZQO ZQP - ***.

ZQQ ZQR - OBD.
ZQS ZQT - IIF.
ZQU ZQV - IBD.
ZQW ZQX - IIH.

ZRA ZRB - OPQ.
ZRC ZRD - OBE.
ZRE ZRF - OPP.
ZRG ZRH - IBE.

ZRI ZRJ - ***.
ZRK ZRL - IBF.
ZRM ZRN - OBF.
ZRO ZRP - IND.

ZRQ ZRR - IMD.
ZRS ZRT - ILD.
ZRU ZRV - OKD.
ZRW ZRX - IKD.


ZSA ZSB - IRB.
ZSC ZSD - ISB.
ZSE ZSF - OSB.
ZSG ZSH - IRA.

ZSI ZSJ - ISA.
ZSK ZSL - IPS.
ZSM ZSN - OSA.
ZSO ZSP - OCA.

ZSQ ZSR - ICA.
ZSS ZST - OOF.
ZSU ZSV - ONF.
ZSW ZSX - OCB.

ZTA ZTB - ICB.
ZTC ZTD - IPT.
ZTE ZTF - IPU.
ZTG ZTH - OCC.

ZTI ZTJ - ICC.
ZTK ZTL - IJF.
ZTM ZTN - OMF.
ZTO ZTP - OLF.

ZTQ ZTR - OCD.
ZTS ZTT - ***.
ZTU ZTV - ICD.
ZTW ZTX - OPX.

ZUA ZUB - OPT.
ZUC ZUD - OCE.
ZUE ZUF - OPS.
ZUG ZUH - ICE.

ZUI ZUJ - OPU.
ZUK ZUL - ICF.
ZUM ZUN - OCF.
ZUO ZUP - INE.

ZUQ ZUR - IME.
ZUS ZUT - ILE.
ZUU ZUV - OKE.
ZUW ZUX - IKE.


ZVA ZVB - IRD.
ZVC ZVD - ISD.
ZVE ZVF - OSD.
ZVG ZVH - IRC.

ZVI ZVJ - ISC.
ZVK ZVL - IPV.
ZVM ZVN - OSC.
ZVO ZVP - ODA.

ZVQ ZVR - IDA.
ZVS ZVT - ***.
ZVU ZVV - ***.
ZVW ZVX - ODB.

ZWA ZWB - IDB.
ZWC ZWD - IPW.
ZWE ZWF - IPX.
ZWG ZWH - ODC.

ZWI ZWJ - IDC.
ZWK ZWL - ***.
ZWM ZWN - ***.
ZWO ZWP - ***.

ZWQ ZWR - ODD.
ZWS ZWT - ***.
ZWU ZWV - IDD.
ZWW ZWX - IIG.

ZXA ZXB - OPW.
ZXC ZXD - ODE.
ZXE ZXF - OPV.
ZXG ZXH - IDE.

ZXI ZXJ - IIE.
ZXK ZXL - IDF.
ZXM ZXN - ODF.
ZXO ZXP - INF.

ZXQ ZXR - IMF.
ZXS ZXT - ILF.
ZXU ZXV - OKF.
ZXW ZXX - IKF.

