A4LG BEF 
A4LF bef 
A4LH BEG 
A4LI beg 
AALG KAA 
AALF kaa 
AALH KAI 
AALI kai 
ACLG JAA 
ACLF jaa 
ACLH FAA 
ACLI faa 
ACLN GAA 
ACLM gaa 
ACLA HAA 
ACLB haa 
ADLG JAI 
ADLF jai 
ADLH FAI 
ADLI fai 
ADLN GAI 
ADLM gai 
ADLA HAI 
ADLB hai 
AELG KBA 
AELF kba 
AELH KBI 
AELI kbi 
AGLG JBA 
AGLF jba 
AGLH FBA 
AGLI fba 
AGLN GBA 
AGLM gba 
AGLA HBA 
AGLB hba 
AHLG JBI 
AHLF jbi 
AHLH FBI 
AHLI fbi 
AHLN GBI 
AHLM gbi 
AHLA HBI 
AHLB hbi 
AILG KCA 
AILF kca 
AILH KCI 
AILI kci 
AJTB BEE 
AJTA bee 
AKLG JCA 
AKLF jca 
AKLH FCA 
AKLI fca 
AKLN GCA 
AKLM gca 
AKLA HCA 
AKLB hca 
ALLG JCI 
ALLF jci 
ALLH FCI 
ALLI fci 
ALLN GCI 
ALLM gci 
ALLA HCI 
ALLB hci 
AMLG KDA 
AMLF kda 
AMLH KDI 
AMLI kdi 
AOLG JDA 
AOLF jda 
AOLH FDA 
AOLI fda 
AOLN GDA 
AOLM gda 
AOLA HDA 
AOLB hda 
APLG JDI 
APLF jdi 
APLH FDI 
APLI fdi 
APLN GDI 
APLM gdi 
APLA HDI 
APLB hdi 
ASTB BEA 
ASTA bea 
ATTB BEB 
ATTA beb 
AWME BEC 
AWMD bec 
AXTB BED 
AXTA bed 
B1ME CEC 
B1MD cec 
B3TB DEB 
B3TA deb 
B3TH DEC 
B3TI dec 
B4LG TGA 
B4LF tga 
B4LH TGC 
B4LI tgc 
B4LN TGE 
B4LM tge 
B5ME CED 
B5MD ced 
B7TB EEA 
B7TA eea 
B8LG THA 
B8LF tha 
B8LH THC 
B8LI thc 
B8LN THE 
B8LM the 
BCLG EAA 
BCLF eaa 
BCLH BAA 
BCLI baa 
BCLN CAA 
BCLM caa 
BCLA DAA 
BCLB daa 
BDLG EAI 
BDLF eai 
BDLH BAI 
BDLI bai 
BDLN CAI 
BDLM cai 
BDLA DAI 
BDLB dai 
BGLG EBA 
BGLF eba 
BGLH BBA 
BGLI bba 
BGLN CBA 
BGLM cba 
BGLA DBA 
BGLB dba 
BHLG EBI 
BHLF ebi 
BHLH BBI 
BHLI bbi 
BHLN CBI 
BHLM cbi 
BKLG ECA 
BKLF eca 
BKLH BCA 
BKLI bca 
BKLN CCA 
BKLM cca 
BKLA DCA 
BKLB dca 
BLLG ECI 
BLLF eci 
BLLH BCI 
BLLI bci 
BLLN CCI 
BLLM cci 
BLLA DCI 
BLLB dci 
BOLG EDA 
BOLF eda 
BOLH BDA 
