A1LG NAA 
A1LF naa 
A1LH NAB 
A1LI nab 
A1LN NAC 
A1LM nac 
A1LA NAD 
A1LB nad 
A2LG PAA 
A2LF paa 
A2LH PAE 
A2LI pae 
A2LN PAF 
A2LM paf 
A2LA PBA 
A2LB pba 
A3LG PBE 
A3LF pbe 
A3LH PBF 
A3LI pbf 
A3LN PCA 
A3LM pca 
A3LA PCE 
A3LB pce 
A4LG PCF 
A4LF pcf 
A4LH PDA 
A4LI pda 
A4LN PDE 
A4LM pde 
A4LA PDF 
A4LB pdf 
A5JG TAA 
A5JF taa 
A5JH TAB 
A5JI tab 
A5JN TBA 
A5JM tba 
A5JA TCA 
A5JB tca 
A6JG TEA 
A6JF tea 
A6JH TFA 
A6JI tfa 
A7JG TBB 
A7JF tbb 
A7JH TCB 
A7JI tcb 
AALG EGA 
AALF ega 
AALH EGB 
AALI egb 
AALN EGC 
AALM egc 
AALA EGD 
AALB egd 
ABLG EGE 
ABLF ege 
ABLH EGF 
ABLI egf 
ABLN EGG 
ABLM egg 
ABLA EGH 
ABLB egh 
ACLG EGI 
ACLF egi 
ACLH EGJ 
ACLI egj 
ACLN EGK 
ACLM egk 
ACLA EGL 
ACLB egl 
ADLG EGM 
ADLF egm 
ADLH EGN 
ADLI egn 
ADLN EGO 
ADLM ego 
ADLA EGP 
ADLB egp 
AELG EGQ 
AELF egq 
AELH EGR 
AELI egr 
AELN EGS 
AELM egs 
AELA EGT 
AELB egt 
AFLG EGU 
AFLF egu 
AFLH EGV 
AFLI egv 
AFLN EGW 
AFLM egw 
AFLA EGX 
AFLB egx 
AGLG FGA 
AGLF fga 
AGLH FGB 
AGLI fgb 
AGLN FGC 
AGLM fgc 
AGLA FGD 
AGLB fgd 
AHLG FGE 
AHLF fge 
AHLH FGF 
AHLI fgf 
AHLN FGG 
AHLM fgg 
AHLA FGH 
AHLB fgh 
AILG FGI 
AILF fgi 
AILH FGJ 
AILI fgj 
AILN FGK 
AILM fgk 
AILA FGL 
AILB fgl 
AJLG FGM 
AJLF fgm 
AJLH FGN 
AJLI fgn 
AJLN FGO 
AJLM fgo 
AJLA FGP 
AJLB fgp 
AKLG FGQ 
AKLF fgq 
AKLH FGR 
AKLI fgr 
AKLN FGS 
AKLM fgs 
AKLA FGT 
AKLB fgt 
ALLG FGU 
ALLF fgu 
ALLH FGV 
ALLI fgv 
ALLN FGW 
ALLM fgw 
ALLA FGX 
ALLB fgx 
AMLG GGA 
AMLF gga 
AMLH GGB 
AMLI ggb 
AMLN GGC 
AMLM ggc 
AMLA GGD 
AMLB ggd 
ANLG GGE 
ANLF gge 
ANLH GGF 
ANLI ggf 
ANLN GGG 
ANLM ggg 
ANLA GGH 
ANLB ggh 
AOLG GGI 
AOLF ggi 
AOLH GGJ 
AOLI ggj 
AOLN GGK 
AOLM ggk 
AOLA GGL 
AOLB ggl 
APLG GGM 
APLF ggm 
APLH GGN 
APLI ggn 
APLN GGO 
APLM ggo 
APLA GGP 
APLB ggp 
AQLG GGQ 
AQLF ggq 
AQLH GGR 
AQLI ggr 
AQLN GGS 
AQLM ggs 
AQLA GGT 
AQLB ggt 
ARLG GGU 
ARLF ggu 
ARLH GGV 
ARLI ggv 
ARLN GGW 
ARLM ggw 
ARLA GGX 
ARLB ggx 
ASLG HGA 
ASLF hga 
ASLH HGB 
ASLI hgb 
ASLN HGC 
ASLM hgc 
ASLA HGD 
ASLB hgd 
ATLG HGE 
ATLF hge 
ATLH HGF 
ATLI hgf 
ATLN HGG 
ATLM hgg 
ATLA HGH 
ATLB hgh 
AULG HGI 
AULF hgi 
AULH HGJ 
AULI hgj 
AULN HGK 
AULM hgk 
AULA HGL 
AULB hgl 
AVLG HGM 
AVLF hgm 
AVLH HGN 
AVLI hgn 
AVLN HGO 
AVLM hgo 
AVLA HGP 
AVLB hgp 
AWLG HGQ 
AWLF hgq 
AWLH HGR 
AWLI hgr 
AWLN HGS 
AWLM hgs 
AWLA HGT 
AWLB hgt 
AXLG HGU 
AXLF hgu 
AXLH HGV 
