A3PB gic 
A3PC GIC 
A4AD did 
A4AE DID 
A7PB gid 
A7PC GID 
A7PD hid 
A7PE HID 
ACPB gaa 
ACPC GAA 
AGPB gab 
AGPC GAB 
AJPB hic 
AJPC HIC 
AKPB gac 
AKPC GAC 
AOPB gad 
AOPC GAD 
ASPB gia 
ASPC GIA 
ASPD hia 
ASPE HIA 
AVPB hib 
AVPC HIB 
AWPB gib 
AWPC GIB 
AXKH dib 
AXKI DIB 
AXKF dic 
AXKG DIC 
B1UF EIC 
B1UG eic 
B1UI EID 
B1UH eid 
B4ME BIC 
B4MD bic 
B4MF BIG 
B4MG big 
B5LG QDE 
B5LF qde 
B5LH TDI 
B5LI tdi 
B7DF CIE 
B7DG cie 
BALG TDA 
BALF tda 
BCLG TAA 
BCLF taa 
BCLH tka 
BCLI TKA 
BCLN tkb 
BCLM TKB 
BDKH caa 
BDKI CAA 
BDKF cab 
BDKG CAB 
BEUF EAA 
BEUG eaa 
BEUI EAB 
BEUH eab 
BGAD CAC 
BGAE cac 
BHLG QFC 
BHLF qfc 
BHLH QFD 
BHLI qfd 
BHLN QIA 
BHLM qia 
BHLA QIB 
BHLB qib 
BIUF EAC 
BIUG eac 
BIUI EAD 
BIUH ead 
BJAD CID 
BJAE cid 
BKDF CAD 
BKDG cad 
BMKH CIC 
BMKI cic 
BODF CAE 
BODG cae 
BRHG FAI 
BRHF fai 
BSNI KAB 
BSNH kab 
BTAD PCA 
BTAE pca 
BUUF EIA 
BUUG eia 
BUUI EIB 
BUUH eib 
BWKH CIB 
BWKI cib 
BXME BIB 
BXMD bib 
BXMF BIF 
BXMG bif 
C1PB aic 
C1PC AIC 
C2HG jai 
C2HF JAI 
C2HH JCA 
C2HI jca 
C3PB BAB 
C3PC bab 
C4PB SIC 
C4PC sic 
C4PD SID 
C4PE sid 
C5PB aid 
C5PC AID 
C5PD BID 
C5PE bid 
C6PB OCC 
C6PC occ 
C6PD OCD 
C6PE ocd 
C7LG QDA 
C7LF qda 
C7LH QDB 
C7LI qdb 
C7LN QDC 
C7LM qdc 
C7LA QDD 
C7LB qdd 
C8PB UIC 
C8PC uic 
C8PD UID 
C8PE uid 
CAPB aaa 
CAPC AAA 
CAPD BAA 
CAPE baa 
CBLG XAA 
CBLF xaa 
CBLH XAB 
CBLI xab 
CBLN XIB 
CBLM xib 
CCQF WAA 
CCQG waa 
CCQE wib 
CCQD WIB 
CDPB SAA 
CDPC saa 
CDPD SAB 
CDPE sab 
CEPB aab 
CEPC AAB 
CEPD aac 
CEPE AAC 
CFPB OAA 
CFPC oaa 
CFPD OAB 
CFPE oab 
CGQF WAB 
CGQG wab 
CGQE wic 
CGQD WIC 
CHPB UAA 
CHPC uaa 
CHPD UAB 
CHPE uab 
CIPB BAC 
CIPC bac 
CJLG XAC 
CJLF xac 
CJLH XAD 
CJLI xad 
CJLN XIC 
CJLM xic 
CJLA XID 
CJLB xid 
CKQF WAC 
CKQG wac 
CKQE wid 
CKQD WID 
CLPB SAC 
CLPC sac 
CLPD SAD 
CLPE sad 
CMPB aad 
CMPC AAD 
CMPD BAD 
CMPE bad 
CNPB OAC 
CNPC oac 
CNPD OAD 
CNPE oad 
COQF WAD 
COQG wad 
COQE wja 
COQD WJA 
CPPB UAC 
CPPC uac 
CPPD UAD 
CPPE uad 
CQPB aia 
CQPC AIA 
CQPD BIA 
CQPE bia 
CRHG jaa 
CRHF JAA 
CSLG TEA 
CSLF tea 
CSLH TEB 
CSLI teb 
CSLN TEC 
CSLM tec 
CSLA TED 
CSLB ted 
CTPB SIA 
CTPC sia 
CTPD SIB 
CTPE sib 
CUPB aib 
CUPC AIB 
CVPB OCA 
CVPC oca 
CVPD OCB 
CVPE ocb 
CWXE QJA 
CWXD qja 
CXPB UIB 
CXPC uib 
CXPD UIA 
CXPE uia 
D3PB gjc 
D3PC GJC 
D4AD djd 
D4AE DJD 
D7PB gjd 
D7PC GJD 
D7PD hjd 
D7PE HJD 
DCPB gba 
DCPC GBA 
DCPD hba 
DCPE HBA 
DGPB gbb 
DGPC GBB 
DGPD hbb 
DGPE HBB 
DHKH dbb 
DHKI DBB 
DHKF dbc 
DHKG DBC 
DJPB hjc 
DJPC HJC 
DKPB gbc 
DKPC GBC 
DKPD hbc 
DKPE HBC 
DLAD dbd 
DLAE DBD 
DOPB gbd 
DOPC GBD 
DOPD hbd 
DOPE HBD 
DSPB gja 
DSPC GJA 
DSPD hja 
DSPE HJA 
DVPB hjb 
DVPC HJB 
DWPB gjb 
DWPC GJB 
DXKH djb 
DXKI DJB 
DXKF djc 
DXKG DJC 
E1UF EJC 
E1UG ejc 
E1UI EJD 
E1UH ejd 
E2NI maa 
E2NH MAA 
E3PB UKA 
E3PC uka 
E4ME BJC 
E4MD bjc 
E4MF BJG 
E4MG bjg 
E5LG TDJ 
E5LF tdj 
E5LH TDB 
E5LI tdb 
E6NI mda 
E6NH MDA 
E7DF CJE 
E7DG cje 
E8NI mca 
E8NH MCA 
EAPB BCA 
EAPC bca 
ECLG TAB 
ECLF tab 
EDPB SCA 
EDPC sca 
EEUF EBA 
EEUG eba 
EEUI EBB 
EEUH ebb 
EGKH CBB 
EGKI cbb 
EGKF CBC 
EGKG cbc 
EHME BBB 
EHMD bbb 
EHMF BBF 
EHMG bbf 
EIUF EBC 
EIUG ebc 
EIUI EBD 
EIUH ebd 
EJAD CJD 
EJAE cjd 
EKAD CBD 
EKAE cbd 
ELME BBC 
ELMD bbc 
ELMF BBG 
ELMG bbg 
EMKH CJB 
EMKI cjb 
ENHG FAB 
ENHF fab 
EODF CBE 
EODG cbe 
EPII PAB 
EPIH pab 
EQME nca 
EQMD NCA 
ERHG FAJ 
ERHF faj 
ERHH FBJ 
ERHI fbj 
ESNI KAC 
ESNH kac 
ETAD PCB 
ETAE pcb 
EUUF EJA 
EUUG eja 
EUUI EJB 
EUUH ejb 
EWKH CJC 
EWKI cjc 
EXME BJB 
EXMD bjb 
EXMF BJF 
EXMG bjf 
F1PB ajc 
F1PC AJC 
F2HG jaj 
F2HF JAJ 
F3LG XBA 
F3LF xba 
F3LH XBB 
F3LI xbb 
F4PB SJC 
F4PC sjc 
F4PD SJD 
F4PE sjd 
F5PB ajd 
F5PC AJD 
F5PD BJD 
F5PE bjd 
F6PB OCG 
F6PC ocg 
F6PD OCH 
F6PE och 
F7PB QBI 
F7PC qbi 
F8PB UJC 
F8PC ujc 
F8PD UJD 
F8PE ujd 
FAPB aba 
FAPC ABA 
FAPD BBA 
FAPE bba 
FBLG XJA 
FBLF xja 
FBLH XJB 
FBLI xjb 
FBLN XKA 
FBLM xka 
FCQF WBA 
FCQG wba 
FCQE wjb 
FCQD WJB 
FDPB SBA 
FDPC sba 
FDPD SBB 
FDPE sbb 
FEPB abb 
FEPC ABB 
FFPB OAE 
FFPC oae 
FFPD OAF 
FFPE oaf 
FGQF WBB 
FGQG wbb 
FGQE wjc 
FGQD WJC 
FHPB UBA 
FHPC uba 
FHPD UBB 
FHPE ubb 
FIPB abc 
FIPC ABC 
FJLG XBC 
FJLF xbc 
FJLH XBD 
FJLI xbd 
FJLN XJC 
FJLM xjc 
FJLA XJD 
FJLB xjd 
FKQF WBC 
FKQG wbc 
FKQE wjd 
FKQD WJD 
FLPB SBC 
FLPC sbc 
FLPD SBD 
FLPE sbd 
FMPB abd 
FMPC ABD 
FMPD BBD 
FMPE bbd 
FNPB OAG 
FNPC oag 
FNPD OAH 
FNPE oah 
FOQF WBD 
FOQG wbd 
FOQE wka 
FOQD WKA 
FPPB UBC 
FPPC ubc 
FPPD UBD 
FPPE ubd 
FQPB aja 
FQPC AJA 
FQPD BJA 
FQPE bja 
FRHG jab 
FRHF JAB 
FSLG TFA 
FSLF tfa 
FSLH TFB 
FSLI tfb 
FSLN TFC 
FSLM tfc 
FSLA TFD 
FSLB tfd 
FTPB SJA 
FTPC sja 
FTPD SJB 
FTPE sjb 
FUPB ajb 
FUPC AJB 
FVPB OCE 
FVPC oce 
FVPD OCF 
FVPE ocf 
FXPB UJA 
FXPC uja 
FXPD UJB 
FXPE ujb 
G3PB gkc 
G3PC GKC 
G4AD dkd 
G4AE DKD 
G7PB gkd 
G7PC GKD 
G7PD hkd 
G7PE HKD 
G8PB hka 
G8PC HKA 
GCPB gca 
GCPC GCA 
GCPD hca 
GCPE HCA 
GGPB gcb 
GGPC GCB 
GGPD hcb 
GGPE HCB 
GHKH dcb 
GHKI DCB 
GHKF dcc 
GHKG DCC 
GJPB hkc 
GJPC HKC 
GKPB gcc 
GKPC GCC 
GKPD hcc 
GKPE HCC 
GLAD dcd 
GLAE DCD 
GOPB gcd 
GOPC GCD 
GOPD hcd 
GOPE HCD 
GSPB gka 
GSPC GKA 
GSPD gkb 
GSPE GKB 
GWPB hkb 
GWPC HKB 
GXKH dkb 
GXKI DKB 
GXKF dkc 
GXKG DKC 
H1UF EKC 
H1UG ekc 
H1UI EKD 
H1UH ekd 
H3AD CKD 
H3AE ckd 
H4ME BKC 
H4MD bkc 
H4MF BKG 
H4MG bkg 
H5LG TDK 
H5LF tdk 
H8NI mcb 
H8NH MCB 
HALG TDC 
HALF tdc 
HCLG TAC 
HCLF tac 
HDNI mab 
