A2XE RMD 
A2XD rmd 
A3LG TYA 
A3LF tya 
A3LH TYB 
A3LI tyb 
A3LN TYD 
A3LM tyd 
A3LA TYE 
A3LB tye 
A5PB vta 
A5PC VTA 
A5PD vua 
A5PE VUA 
A6PB LAC 
A6PC lac 
A7PB LAE 
A7PC lae 
AAPB LAA 
AAPC laa 
ABXE RMA 
ABXD rma 
ACKH DEA 
ACKI dea 
ACKF DEB 
ACKG deb 
ADKH DAA 
ADKI daa 
ADKF DAB 
ADKG dab 
AEPB LAB 
AEPC lab 
AFXE RMB 
AFXD rmb 
AGKH DFA 
AGKI dfa 
AGKF DFB 
AGKG dfb 
AHKH DAI 
AHKI dai 
AHKF DAJ 
AHKG daj 
AIXE vma 
AIXD VMA 
AJXE RMC 
AJXD rmc 
AKKH GAA 
AKKI gaa 
AKKF GAB 
AKKG gab 
ALKH DBA 
ALKI dba 
ALKF DBB 
ALKG dbb 
AMPB vna 
AMPC VNA 
AMPD voa 
AMPE VOA 
ANKH GBA 
ANKI gba 
ANKF GBB 
ANKG gbb 
AOKH GCA 
AOKI gca 
AOKF GCB 
AOKG gcb 
APKH GDA 
APKI gda 
APKF GDB 
APKG gdb 
AQKH HAA 
AQKI haa 
AQKF HAB 
AQKG hab 
ARKH HBA 
ARKI hba 
ARKF HBB 
ARKG hbb 
ASKH HCA 
ASKI hca 
ASKF HCB 
ASKG hcb 
ATKH HDA 
ATKI hda 
ATKF HDB 
ATKG hdb 
AUKH DBI 
AUKI dbi 
AUKF DBJ 
AUKG dbj 
B1XE MAA 
B1XD maa 
B2XE MAI 
B2XD mai 
B3XE MBA 
B3XD mba 
B4XE MBI 
B4XD mbi 
B5XE MCA 
B5XD mca 
B6XE MCI 
B6XD mci 
B7XE MDA 
B7XD mda 
B8LG TAA 
B8LF taa 
B8LH TAB 
B8LI tab 
B8LN TAC 
B8LM tac 
B8LA TAD 
B8LB tad 
BAXE EAA 
BAXD eaa 
BBXE EAI 
BBXD eai 
BCXE EBA 
BCXD eba 
BDXE EBI 
BDXD ebi 
BEXE ECA 
BEXD eca 
BFXE ECI 
BFXD eci 
BGXE EDA 
BGXD eda 
BHXE EDI 
BHXD edi 
BIXE FAA 
BIXD faa 
BJLG tgi 
BJLF TGI 
BJLH tgj 
BJLI TGJ 
BJLN tgk 
BJLM TGK 
BJLA tgl 
BJLB TGL 
BKKH LHA 
BKKI lha 
BLKH LIA 
BLKI lia 
BPPB AAA 
BPPC aaa 
BPPD ACA 
BPPE aca 
BQPB AAI 
BQPC aai 
BQPD ACI 
BQPE aci 
BRPB ABA 
BRPC aba 
BRPD ADA 
BRPE ada 
BSPB ABI 
BSPC abi 
BSPD ADI 
BSPE adi 
BTPB BAA 
BTPC baa 
BTPD BCA 
BTPE bca 
BUPB BAI 
BUPC bai 
BUPD BCI 
BUPE bci 
BVPB BBA 
BVPC bba 
BVPD BDA 
BVPE bda 
BWPB BBI 
BWPC bbi 
BWPD BDI 
BWPE bdi 
C1LG QAA 
C1LF qaa 
C1LH QAB 
C1LI qab 
C1LN QBA 
C1LM qba 
C1LA QBB 
C1LB qbb 
C2LG QCA 
C2LF qca 
C2LH QCB 
C2LI qcb 
C3LG QDA 
C3LF qda 
C3LH QDB 
C3LI qdb 
C4LG QMA 
C4LF qma 
C4LH QMB 
C4LI qmb 
C4LN QMC 
C4LM qmc 
C4LA QMD 
C4LB qmd 
C5LG syb 
C5LF SYB 
C5LH syc 
C5LI SYC 
C5LN syd 
C5LM SYD 
C6LG QNA 
C6LF qna 
C6LH QNB 
C6LI qnb 
C6LN QNC 
C6LM qnc 
C6LA QND 
C6LB qnd 
C7TB RCA 
C7TA rca 
C7TM rga 
C7TN RGA 
C8LG QNE 
C8LF qne 
C8LH QNF 
C8LI qnf 
C8LN QNG 
