A1XE JMA 
A1XD jma 
A2XE JMB 
A2XD jmb 
A3XE JMC 
A3XD jmc 
A4XE JMD 
A4XD jmd 
A5LG QLE 
A5LF qle 
A5LH QVC 
A5LI qvc 
A6LG QLC 
A6LF qlc 
A7LG QJD 
A7LF qjd 
A8ME QJC 
A8MD qjc 
AAHG VAF 
AAHF vaf 
ABME QIC 
ABMD qic 
ACPB QKD 
ACPC qkd 
ADOM NAA 
ADON naa 
ADOI NAB 
ADOH nab 
ADOF NAC 
ADOE nac 
AELG QKE 
AELF qke 
AFBI VAG 
AFBH vag 
AGLG THA 
AGLF tha 
AGLH THB 
AGLI thb 
AGLN THC 
AGLM thc 
AGLA THD 
AGLB thd 
AHOM NBA 
AHON nba 
AHOI NBB 
AHOH nbb 
AHOF NBC 
AHOE nbc 
AILG the 
AILF THE 
AILH thf 
AILI THF 
AILN thg 
AILM THG 
AILA thh 
AILB THH 
ALOM NCA 
ALON nca 
ALOI NCB 
ALOH ncb 
ALOF NCC 
ALOE ncc 
APOM NDA 
APON nda 
APOI NDB 
APOH ndb 
APOF NDC 
APOE ndc 
AQFL JSA 
AQFM JSB 
AQFN JSC 
AQFA JSD 
AQFF JSE 
AQFG JSF 
AQFH JSG 
AQFI JSH 
AQFE JSI 
ARFL JTA 
ARFM JTB 
ARFN JTC 
ARFA JTD 
ARFF JTE 
ARFG JTF 
ARFH JTG 
ARFI JTH 
ARFE JTI 
ASFL JUA 
ASFM JUB 
ASFN JUC 
ASFA JUD 
ASFF JUE 
ASFG JUF 
ASFH JUG 
ASFI JUH 
ASFE JUI 
ATLG RIA 
ATLF ria 
ATLH RIB 
ATLI rib 
ATLN RIC 
ATLM ric 
ATLA RID 
ATLB rid 
AULG RIE 
AULF rie 
AULH RIF 
AULI rif 
AULN RIG 
AULM rig 
AULA RIH 
AULB rih 
AVLG RJA 
AVLF rja 
AVLH RJB 
AVLI rjb 
AVLN RJC 
AVLM rjc 
AVLA RJD 
AVLB rjd 
AWLG RJE 
AWLF rje 
AWLH RJF 
AWLI rjf 
AWLN RJG 
AWLM rjg 
AWLA RJH 
AWLB rjh 
B1LG TBA 
B1LF tba 
B1LH TBB 
B1LI tbb 
B1LN TBC 
B1LM tbc 
B1LA TBD 
B1LB tbd 
B2LG TEA 
B2LF tea 
B2LH TEB 
B2LI teb 
B3LG TEE 
B3LF tee 
B3LH TEF 
B3LI tef 
B4LG TFA 
B4LF tfa 
B4LH TFB 
B4LI tfb 
B4LN TFC 
B4LM tfc 
B4LA TFD 
B4LB tfd 
B5LG TFE 
B5LF tfe 
B5LH TFF 
B5LI tff 
B5LN TFG 
B5LM tfg 
B5LA TFH 
B5LB tfh 
B6LG TCA 
B6LF tca 
B6LH TCB 
B6LI tcb 
B6LN TCC 
B6LM tcc 
B6LA TCD 
B6LB tcd 
B7LG TEC 
B7LF tec 
B7LH TED 
B7LI ted 
B8LG TEG 
B8LF teg 
B8LH TEH 
B8LI teh 
BAAD CAA 
BAAE caa 
BBAD CBA 
BBAE cba 
BCAD CCA 
BCAE cca 
BDAD CDA 
BDAE cda 
BEAD CEA 
BEAE cea 
BFAD CFA 
BFAE cfa 
BGAD CGA 
BGAE cga 
BHAD CHA 
BHAE cha 
BIXE MAA 
BIXD maa 
BJXE MBA 
BJXD mba 
BKXE MCA 
BKXD mca 
BLKH MDA 
BLKI mda 
BMXE MEA 
BMXD mea 
BNXE MFA 
BNXD mfa 
BOXE MGA 
BOXD mga 
BPXE MHA 
BPXD mha 
BSOM EAA 
BSON eaa 
BSOI EAB 
BSOH eab 
BSOF EAC 
BSOE eac 
BTOM EBA 
BTON eba 
BTOI EBB 
BTOH ebb 
BTOF EBC 
BTOE ebc 
BUOM ECA 
BUON eca 
BUOI ECB 
BUOH ecb 
BUOF ECC 
BUOE ecc 
BVOM EDA 
BVON eda 
BVOI EDB 
BVOH edb 
BVOF EDC 
BVOE edc 
C1LG QBD 
C1LF qbd 
C1LH QBE 
C1LI qbe 
C1LN QBF 
C1LM qbf 
C1LA QBG 
C1LB qbg 
C2PB QAD 
C2PC qad 
C3LG QAA 
C3LF qaa 
C3LH QAB 
C3LI qab 
C3LN QAC 
C3LM qac 
C4OM SAA 
C4ON saa 
C4OI SAB 
C4OH sab 
C4OF SAC 
C4OE sac 
C5OM SBA 
C5ON sba 
C5OI SBB 
C5OH sbb 
C5OF SBC 
C5OE sbc 
C6OM SCA 
C6ON sca 
C6OI SCB 
C6OH scb 
C6OF SCC 
C6OE scc 
C7OM SDA 
C7ON sda 
C7OI SDB 
C7OH sdb 
C7OF SDC 
C7OE sdc 
C8LG QAE 
C8LF qae 
C8LH QAF 
C8LI qaf 
C8LN QAG 
C8LM qag 
CBLG BAA 
CBLF baa 
CBLH BAB 
CBLI bab 
CBLN BAC 
CBLM bac 
CCLG DAA 
CCLF daa 
CCLH DAB 
